match_id,event_slug,market_title,token_w1,token_draw,token_w2,kickoff,resolved_at
D-md1-United_States-vs-Paraguay,fifwc-usa-par-2026-06-12,United States vs. Paraguay,1053697017401072331517873943000159665286188444438499834342450614809920055961,21443346281887816581515410030230333606155013108124688608906518902705450285763,61818169216515152409825014521551448207788109103141434403938162619298245828983,2026-06-13 01:00:00+00,2026-06-13T03:49:56+00:00
D-md2-Turkey-vs-Paraguay,fifwc-tur-par-2026-06-19,Türkiye vs. Paraguay,28938745417558857896442238911870725474349404919267969141124175484009211562921,32119774861601767809867283650069946484685075980505835201995035137150231372345,71048226321294851841817266819205234468444418485834628185639241813564580583954,2026-06-20 03:00:00+00,2026-06-13T03:49:56+00:00
D-md2-United_States-vs-Australia,fifwc-usa-aus-2026-06-19,United States vs. Australia,39108014906147153132558864303811863989716119429482110734018531773663181557097,14729379386817258537354006783786102068178286988322042272817558435233867171838,63278746552959073436363985715772152424855372958904540749550690656971780048497,2026-06-19 19:00:00+00,2026-06-13T03:49:56+00:00
D-md3-Paraguay-vs-Australia,fifwc-par-aus-2026-06-25,Paraguay vs. Australia,49296719184627637111102906756410924588753297305614598618877406701338912319300,37005314859048726898779825465316653816506760625587636277026357315052111971182,21990437237634439641535931317392242133464382121486985420713435551817663743535,2026-06-26 02:00:00+00,2026-06-13T03:49:56+00:00
D-md3-Turkey-vs-United_States,fifwc-tur-usa-2026-06-25,Türkiye vs. United States,23905785647225133250068955131316534532801742215919018709867564550696854194755,84455986553231783484004493796796163763072739538940527173028153992346042419876,47236739815607347436394828740644657912816815268002585518946427187074399713739,2026-06-26 02:00:00+00,2026-06-13T03:49:56+00:00
E-md1-Germany-vs-Curaçao,fifwc-ger-kor-2026-06-14,Germany vs. Curaçao,80258038883060787104700033663206548991173635281684057844048254140005841868705,43065699114218738643061430368238869232700747238329067809024727726995177258597,84520506461080918199836241264297202134105253634264892405638380867421157597093,2026-06-14 17:00:00+00,2026-06-13T03:49:56+00:00
E-md1-Ivory_Coast-vs-Ecuador,fifwc-civ-ecu-2026-06-14,Côte d'Ivoire vs. Ecuador,97954339861337592198517897825570585108397895633529524888621528267394350049120,51076507708274140524034686501213174543010993864036676754773732528820025061669,28508563298912772074214719307109307518904085025750423135797235005006783326548,2026-06-14 23:00:00+00,2026-06-13T03:49:56+00:00
E-md2-Ecuador-vs-Curaçao,fifwc-ecu-kor-2026-06-20,Ecuador vs. Curaçao,7079595983448256774998692261246256964535880004732387005017898482275441988994,76080209269268194960994324761022940023118517246399247746844169234710576675814,22922754856620040574706795332414925251832240378503831196222537952159137725220,2026-06-21 00:00:00+00,2026-06-13T03:49:56+00:00
E-md2-Germany-vs-Ivory_Coast,fifwc-ger-civ-2026-06-20,Germany vs. Côte d'Ivoire,110881534500357968934646596900153818247967390745149544995654778360419076918150,107928370782866384352393308470448074487232209143841431481520161337861243389626,34949477535476026489714414939200175816336848313521000211837354783838790884040,2026-06-20 20:00:00+00,2026-06-13T03:49:56+00:00
E-md3-Curaçao-vs-Ivory_Coast,fifwc-kor-civ-2026-06-25,Curaçao vs. Côte d'Ivoire,19148172802481517881692352905829372357755800754194043495831127988905408662349,100613082629822213553264871806294534405119465896030760287440778049574323720676,112165227742342790816614520312092947420861337398279265432656445292580690894446,2026-06-25 20:00:00+00,2026-06-13T03:49:56+00:00
E-md3-Ecuador-vs-Germany,fifwc-ecu-ger-2026-06-25,Ecuador vs. Germany,14621976022388339155866443939403907158807725281606484508612016632018100973573,9059650700126795019827485089957938050581213031053374092199507389736394347163,101279272797775203956659007084828831261331275405585994446661991301016814257223,2026-06-25 20:00:00+00,2026-06-13T03:49:56+00:00
F-md1-Netherlands-vs-Japan,fifwc-nld-jpn-2026-06-14,Netherlands vs. Japan,46118045327286643463479614908512136607324773588723756546332480247027286666715,45105978043736940399020460688923720821814878879331783138334562105702459648812,51849195089345361433940393336005306019563641384117823557920274041538875387918,2026-06-14 20:00:00+00,2026-06-13T03:49:56+00:00
F-md1-Sweden-vs-Tunisia,fifwc-swe-tun-2026-06-14,Sweden vs. Tunisia,77891685052397355147816140430897431230743681776824155461036740561521945442239,59191041992708759461556734329410471789809724249248263993334423672893905512717,83899205056028320634506792090435502639229370708908873019388029731945043477417,2026-06-15 02:00:00+00,2026-06-13T03:49:56+00:00
F-md2-Netherlands-vs-Sweden,fifwc-nld-swe-2026-06-20,Netherlands vs. Sweden,81043398291360463170235957547610256181022662944963722274721633505163503937838,76430088308493460494891335845203272510723451292248221729565378437032576762940,40679081595356904709519473256184794013741938720159613262750624703767617499056,2026-06-20 17:00:00+00,2026-06-13T03:49:56+00:00
